Id,Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,Price
TRAIN_0000,TayGTS,P사,2,AWD,0,No,Nearly New,86.077,13642,159.66
TRAIN_0001,Niro,K사,0,FWD,6,No,Nearly New,56.0,10199,28.01
TRAIN_0002,eT,A사,0,AWD,7,No,Brand New,91.2,2361,66.27
TRAIN_0003,RSeTGT,A사,0,AWD,3,No,Nearly New,,21683,99.16
TRAIN_0004,i5,B사,0,AWD,1,No,Pre-Owned,61.018,178205,62.02
TRAIN_0005,ION6,H사,0,AWD,3,No,Pre-Owned,58.162,103100,37.02
TRAIN_0006,MS,T사,0,AWD,3,No,Nearly New,,19395,83.42
TRAIN_0007,RSeTGT,A사,1,AWD,5,No,Nearly New,78.227,30583,99.66
TRAIN_0008,MY,T사,0,AWD,8,No,Brand New,,2226,74.06
TRAIN_0009,Q4eT,A사,0,AWD,7,No,Brand New,,3683,59.66
TRAIN_0010,Niro,K사,2,FWD,8,No,Nearly New,58.982,10879,28.78
TRAIN_0011,ID4,V사,0,AWD,8,No,Brand New,,1131,40.5
TRAIN_0012,ID4,V사,1,AWD,5,No,Nearly New,68.125,44068,41.21
TRAIN_0013,Niro,K사,0,AWD,10,Yes,Brand New,,1191,21.36
TRAIN_0014,Niro,K사,0,FWD,5,No,Nearly New,56.0,16011,28.87
TRAIN_0015,eT,A사,0,AWD,7,No,Brand New,91.2,5681,66.12
TRAIN_0016,TayCT,P사,0,AWD,2,No,Nearly New,76.093,49335,130.61
TRAIN_0017,Soul,K사,0,AWD,6,Yes,Nearly New,56.0,28687,22.77
TRAIN_0018,MY,T사,0,AWD,2,No,Pre-Owned,58.707,137749,75.86
TRAIN_0019,ION6,H사,0,AWD,10,No,Brand New,,5008,38.81
TRAIN_0020,MS,T사,0,AWD,8,No,Brand New,99.8,1405,63.9
TRAIN_0021,iX,B사,0,RWD,7,No,Brand New,,2889,80.38
TRAIN_0022,MX,T사,0,AWD,4,No,Nearly New,,33126,93.66
TRAIN_0023,Soul,K사,0,AWD,6,No,Nearly New,56.0,27402,23.82
TRAIN_0024,Niro,K사,1,FWD,7,No,Nearly New,56.623,21975,28.65
TRAIN_0025,MS,T사,1,AWD,5,No,Nearly New,88.474,26876,84.47
TRAIN_0026,MY,T사,0,AWD,7,No,Brand New,,185,63.15
TRAIN_0027,ION6,H사,0,AWD,10,No,Brand New,,1975,38.26
TRAIN_0028,MY,T사,0,AWD,2,No,Pre-Owned,58.707,151131,76.51
TRAIN_0029,Soul,K사,0,AWD,2,No,Pre-Owned,46.169,102772,21.92
TRAIN_0030,IONIQ,H사,2,FWD,3,No,Nearly New,88.08,43412,27.53
TRAIN_0031,TayGTS,P사,0,AWD,2,No,Pre-Owned,64.683,97476,151.0
TRAIN_0032,TayCT,P사,0,AWD,2,No,Brand New,,1292,120.08
TRAIN_0033,RSeTGT,A사,0,AWD,0,No,Pre-Owned,,128546,94.79
TRAIN_0034,Q4eT,A사,0,AWD,0,No,Pre-Owned,56.788,59324,55.44
TRAIN_0035,ID4,V사,2,AWD,6,No,Nearly New,70.963,25288,37.18
TRAIN_0036,EV6,K사,0,AWD,10,No,Brand New,,2619,48.47
TRAIN_0037,i5,B사,0,AWD,8,No,Brand New,,6645,64.14
TRAIN_0038,Niro,K사,0,FWD,5,No,Nearly New,56.0,28777,28.77
TRAIN_0039,KNE,H사,0,FWD,9,No,Brand New,,1144,24.02
TRAIN_0040,i5,B사,0,RWD,8,No,Brand New,,6777,65.07
TRAIN_0041,Q4eT,A사,1,AWD,5,No,Nearly New,72.548,38960,57.27
TRAIN_0042,ION6,H사,0,AWD,10,No,Brand New,,8998,39.0
TRAIN_0043,MX,T사,0,AWD,2,No,Pre-Owned,,94747,91.61
TRAIN_0044,i5,B사,0,RWD,0,No,Pre-Owned,56.234,108562,60.59
TRAIN_0045,RSeTGT,A사,0,AWD,7,No,Brand New,,975,100.38
TRAIN_0046,i5,B사,0,RWD,0,No,Pre-Owned,58.577,180683,60.78
TRAIN_0047,Soul,K사,0,FWD,2,Yes,Pre-Owned,46.169,83876,22.39
TRAIN_0048,Niro,K사,0,AWD,1,No,Pre-Owned,46.0,197873,28.37
TRAIN_0049,MX,T사,0,AWD,7,No,Brand New,96.0,7626,77.32
TRAIN_0050,MS,T사,0,AWD,4,No,Nearly New,,26001,82.64
TRAIN_0051,i5,B사,1,RWD,5,No,Nearly New,71.841,47296,60.12
TRAIN_0052,Niro,K사,1,FWD,7,No,Nearly New,56.623,41003,27.69
TRAIN_0053,M3,T사,0,RWD,8,No,Brand New,,5514,54.12
TRAIN_0054,MS,T사,0,AWD,7,No,Brand New,96.0,6658,70.22
TRAIN_0055,i5,B사,0,RWD,1,No,Pre-Owned,61.018,106528,61.91
TRAIN_0056,TayGTS,P사,0,AWD,2,No,Brand New,,9161,160.73
TRAIN_0057,iX,B사,0,RWD,8,No,Brand New,,8279,79.19
TRAIN_0058,TayCT,P사,0,AWD,2,No,Pre-Owned,76.093,110041,124.47
TRAIN_0059,RSeTGT,A사,0,AWD,8,No,Brand New,90.0,1461,100.17
TRAIN_0060,i5,B사,0,AWD,8,No,Brand New,,5550,64.07
TRAIN_0061,MX,T사,0,AWD,0,No,Pre-Owned,72.139,86478,89.01
TRAIN_0062,IONIQ,H사,0,FWD,3,No,Nearly New,75.87,70822,11.12
TRAIN_0063,i3,B사,2,RWD,6,No,Nearly New,56.0,21665,23.89
TRAIN_0064,TayCT,P사,2,AWD,0,No,Nearly New,76.093,41038,119.04
TRAIN_0065,eT,A사,0,AWD,3,No,Nearly New,77.46,17020,74.0
