Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
MY,T사,y1,AWD,w5,No,Nearly New,66.355,29158,73.66,73.66,73.67
KNE,H사,y0,FWD,w6,Yes,Nearly New,68.488,20465,27.61,27.61,27.62
ID4,V사,y0,AWD,w0,No,Pre-Owned,53.325,145503,38.55,38.55,38.55
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,70.185,60508,155.96,155.96,155.96
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,30115,28.79,28.79,27.83
M3,T사,y0,RWD,w8,No,Brand New,90.0,5170,54.92,54.92,54.93
ID4,V사,y0,AWD,w7,No,Brand New,90.0,6665,34.63,34.63,34.63
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,113655,36.92,36.92,36.92
MS,T사,y0,AWD,w2,No,Pre-Owned,78.276,93799,81.2,81.2,81.2
KNE,H사,y1,FWD,w7,No,Nearly New,68.488,25702,27.38,27.38,27.39
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,3815,100.06,100.06,100.07
ID4,V사,y0,AWD,w0,No,Pre-Owned,55.547,163622,38.9,38.9,38.9
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,186351,27.38,27.38,27.39
KNE,H사,y0,FWD,w10,No,Brand New,90.0,1389,22.08,22.08,22.08
MS,T사,y0,AWD,w1,No,Pre-Owned,75.145,199329,80.4,80.4,80.41
ION5,H사,y0,AWD,w3,No,Pre-Owned,58.162,171363,34.21,34.21,34.22
Tay,P사,y0,AWD,w2,No,Brand New,90.0,5264,95.13,103.0,95.13
Soul,K사,y2,AWD,w8,No,Nearly New,58.982,19930,22.56,22.56,23.04
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,22708,159.73,159.73,160.31
MS,T사,y0,AWD,w1,Yes,Pre-Owned,75.145,144807,80.52,80.52,80.53
Soul,K사,y1,FWD,w7,No,Nearly New,56.623,18557,23.49,23.49,23.5
eT,A사,y0,AWD,w3,No,Nearly New,77.46,22538,73.59,73.59,74.0
ION5,H사,y2,AWD,w8,No,Nearly New,71.332,22136,34.71,34.71,34.33
i5,B사,y0,RWD,w8,No,Brand New,90.0,5320,65.46,65.46,64.17
IONIQ,H사,y2,FWD,w3,No,Pre-Owned,52.75,77376,18.45,18.45,18.45
RSeTGT,A사,y2,AWD,w6,No,Nearly New,78.227,17707,99.01,99.01,99.02
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,34630,57.84,57.84,57.85
eT,A사,y0,AWD,w8,No,Brand New,95.0,4104,59.48,59.48,59.49
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,166665,40.8,40.8,40.81
MY,T사,y0,AWD,w8,No,Brand New,90.0,2226,74.06,74.06,74.06
ION5,H사,y0,AWD,w10,No,Brand New,90.0,4494,35.23,35.23,35.24
Tay,P사,y2,AWD,w0,No,Nearly New,72.991,34038,121.04,121.04,119.95
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,98,99.99,99.99,100.0
i5,B사,y2,RWD,w6,No,Nearly New,74.834,24913,64.78,64.78,64.78
MX,T사,y0,AWD,w7,No,Brand New,96.0,8872,77.63,77.63,77.34
TayGTS,P사,y1,AWD,w1,No,Nearly New,82.634,17059,159.43,159.43,159.3
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,120210,34.23,34.23,34.12
Niro,K사,y1,AWD,w7,No,Nearly New,56.623,39977,28.2,28.2,28.21
MS,T사,y0,AWD,w1,No,Pre-Owned,75.145,71943,81.6,81.6,81.61
ION6,H사,y0,AWD,w10,No,Brand New,90.0,3342,38.85,38.85,38.85
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,16011,28.87,28.87,28.87
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,32963,119.12,119.12,119.12
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,24800,159.62,159.62,159.62
ID4,V사,y0,AWD,w8,No,Brand New,90.0,8653,40.12,40.12,40.13
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,56.788,136509,55.77,55.77,55.78
MS,T사,y0,AWD,w7,No,Brand New,96.0,2936,70.19,70.19,69.45
ION5,H사,y0,AWD,w9,No,Brand New,90.0,6613,35.57,35.57,35.58
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,890,129.62,121.0,129.62
ION5,H사,y0,AWD,w9,No,Brand New,90.0,4130,35.99,35.99,36.0
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,19994,160.51,160.51,160.51
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,28815,58.12,58.12,58.12
eT,A사,y0,AWD,w8,No,Brand New,95.0,3067,59.45,59.45,59.45
Niro,K사,y0,AWD,w6,No,Nearly New,56.0,45344,28.45,28.45,28.45
i5,B사,y1,RWD,w5,No,Nearly New,71.841,35907,60.63,60.63,60.55
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,160556,60.07,60.07,60.07
MX,T사,y0,AWD,w8,No,Brand New,99.8,379,72.7,72.7,72.71
MY,T사,y1,AWD,w5,No,Nearly New,66.355,19918,74.59,74.59,74.59
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,142712,23.3,23.3,22.48
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,192515,40.8,40.8,40.81
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,6561,160.35,160.35,160.36
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,56.788,156063,55.99,55.99,56.0
i3,B사,y2,AWD,w6,No,Nearly New,56.0,40988,23.94,23.94,23.43
MS,T사,y1,AWD,w5,No,Nearly New,88.474,28597,83.71,83.71,84.44
Q4eT,A사,y0,AWD,w2,No,Pre-Owned,64.186,60752,57.8,57.8,57.8
iX,B사,y0,RWD,w8,No,Brand New,90.0,5128,80.7,80.7,80.71
Tay,P사,y0,AWD,w2,No,Pre-Owned,57.134,107105,114.81,114.81,115.37
ID4,V사,y0,AWD,w8,No,Brand New,90.0,2103,40.54,40.54,40.54
i5,B사,y2,AWD,w6,No,Nearly New,74.834,24260,64.37,64.37,64.38
KNE,H사,y1,FWD,w7,No,Nearly New,68.488,20004,27.84,27.84,28.77
iX,B사,y0,RWD,w7,No,Brand New,90.0,2619,79.72,79.72,79.69
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,161799,39.69,39.69,39.7
ION6,H사,y0,AWD,w10,No,Brand New,90.0,5459,39.0,39.0,39.0
MY,T사,y0,AWD,w4,No,Nearly New,63.701,27409,78.53,78.53,78.54
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,5367,59.75,59.75,59.75
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,170173,39.42,39.42,39.89
ION5,H사,y0,AWD,w3,No,Pre-Owned,58.162,82204,34.73,34.73,35.0
ID4,V사,y0,AWD,w7,No,Brand New,90.0,9720,34.17,34.17,34.18
Tay,P사,y1,AWD,w1,Yes,Nearly New,70.071,16670,121.83,121.83,121.84
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,3712,100.16,100.16,100.16
MY,T사,y1,AWD,w5,No,Nearly New,66.355,30315,73.8,73.8,73.81
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,90544,22.75,22.75,22.2
eT,A사,y0,AWD,w7,No,Brand New,91.2,2270,65.63,65.63,65.61
i5,B사,y0,RWD,w3,No,Nearly New,66.208,20215,63.55,63.55,63.56
IONIQ,H사,y2,FWD,w1,No,Nearly New,47.74,49931,24.62,24.62,24.62
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,177709,22.74,22.74,22.75
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,10939,52.01,52.01,52.01
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,42980,119.0,119.0,119.0
KNE,H사,y0,FWD,w6,No,Nearly New,68.488,41971,28.32,28.32,28.33
EV6,K사,y0,FWD,w10,No,Brand New,90.0,7908,48.03,48.03,47.32
i5,B사,y0,AWD,w8,Yes,Brand New,90.0,4692,64.84,64.84,65.94
ION6,H사,y0,AWD,w2,No,Pre-Owned,55.836,199384,36.84,36.84,36.84
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,32042,159.02,159.02,159.03
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,4442,100.77,100.77,100.77
EV6,K사,y0,AWD,w10,No,Brand New,90.0,7448,47.74,47.74,47.75
ID4,V사,y0,AWD,w8,No,Brand New,90.0,9412,39.66,39.66,40.09
EV6,K사,y0,AWD,w10,No,Brand New,90.0,1808,47.36,47.36,47.15
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,50684,28.24,28.24,27.7
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,429,130.94,121.0,130.95
EV6,K사,y0,FWD,w10,Yes,Brand New,90.0,3038,47.61,47.61,47.62
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,182351,23.49,23.49,23.5
MY,T사,y0,AWD,w8,No,Brand New,90.0,2175,75.65,75.65,75.65
TayGTS,P사,y2,AWD,w0,No,Nearly New,86.077,21807,159.6,159.6,159.6
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,186493,129.15,125.0,129.16
EV6,K사,y0,FWD,w10,No,Brand New,90.0,9476,48.35,48.35,48.96
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,148828,94.89,94.89,94.89
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,22473,120.38,120.38,121.21
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2112,40.22,40.22,40.47
MY,T사,y0,AWD,w7,No,Brand New,90.0,6608,64.27,64.27,64.28
iX,B사,y0,RWD,w7,No,Brand New,90.0,795,79.32,79.32,79.32
MY,T사,y0,AWD,w8,No,Brand New,90.0,7801,75.29,75.29,75.68
eT,A사,y0,AWD,w8,No,Brand New,95.0,8196,59.52,59.52,60.59
Niro,K사,y0,FWD,w1,No,Pre-Owned,46.0,74134,27.82,27.82,27.82
M3,T사,y0,RWD,w8,No,Brand New,90.0,3629,54.82,54.82,54.82
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,27206,120.85,120.85,121.41
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,116606,151.67,151.67,151.68
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,179034,41.05,41.05,41.05
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,38290,52.18,52.18,52.18
EV6,K사,y0,FWD,w9,No,Brand New,90.0,8367,40.28,40.28,41.78
TayCT,P사,y1,AWD,w1,No,Nearly New,76.093,21518,130.81,130.81,130.82
TayGTS,P사,y0,AWD,w2,Yes,Brand New,93.4,7880,160.53,160.53,160.0
TayGTS,P사,y0,AWD,w2,Yes,Brand New,93.4,9781,160.42,160.42,160.04
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,159697,21.85,21.85,21.86
MY,T사,y0,AWD,w3,No,Nearly New,61.153,17766,77.45,77.45,77.45
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,4273,129.14,121.0,129.14
RSeTGT,A사,y0,AWD,w2,No,Pre-Owned,78.227,98321,97.0,97.0,97.0
RSeTGT,A사,y0,AWD,w0,Yes,Pre-Owned,78.227,175481,94.52,94.52,94.94
Soul,K사,y0,AWD,w1,No,Pre-Owned,46.0,153963,22.14,22.14,22.15
i3,B사,y0,RWD,w4,No,Nearly New,56.0,34664,23.84,23.84,23.84
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,24495,159.65,159.65,159.07
ID4,V사,y0,AWD,w7,No,Brand New,90.0,7558,33.71,33.71,33.72
M3,T사,y0,RWD,w7,No,Brand New,90.0,9332,47.32,47.32,47.33
MX,T사,y0,AWD,w7,No,Brand New,96.0,6783,77.95,77.95,77.96
ION6,H사,y0,AWD,w5,No,Nearly New,63.11,35436,37.95,37.95,37.96
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,79215,37.1,37.1,37.18
ION6,H사,y0,AWD,w9,No,Brand New,90.0,6600,38.55,38.55,38.98
Tay,P사,y0,AWD,w2,No,Brand New,90.0,3309,95.85,103.0,95.85
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,137130,69.79,69.79,69.79
Soul,K사,y0,FWD,w9,No,Brand New,90.0,9232,19.57,19.57,19.58
