Epoch,RMSE
1,4.035653
2,4.009559
3,3.9954576
4,3.981212
5,3.9668489
6,3.9523976
7,3.9378066
8,3.9229205
9,3.85313
10,3.4906328
11,0.804888
12,0.8866643
13,0.526937
14,0.43808064
15,0.3883526
16,0.3497518
17,0.3189024
18,0.2935853
19,0.27283746
20,0.25494716
21,0.2396849
22,0.22589456
23,0.21285619
24,0.2013855
25,0.19107899
26,0.18182075
27,0.17319512
28,0.165407
29,0.15855502
30,0.15188202
31,0.1461752
32,0.14017412
33,0.1349565
34,0.12990408
35,0.1252463
36,0.12093018
37,0.11735279
38,0.11341556
39,0.11015017
40,0.1067393
41,0.10363846
42,0.1008006
43,0.098136455
44,0.09570787
45,0.09424309
46,0.091552034
47,0.08920636
48,0.08727246
49,0.08563364
50,0.08453491
51,0.08277816
52,0.08154435
53,0.080282405
54,0.07911246
55,0.07788607
56,0.07696338
57,0.0760988
58,0.076063745
59,0.07473903
60,0.07383596
61,0.07325401
62,0.07263263
63,0.0722025
64,0.07126934
65,0.07078964
66,0.07036629
67,0.06990975
68,0.06984326
69,0.06908048
70,0.06867034
71,0.06834218
72,0.068202995
73,0.06775646
74,0.06733077
75,0.06706227
76,0.06678279
77,0.06667357
78,0.06622387
79,0.06622425
80,0.06584149
81,0.06582818
82,0.06539016
83,0.0652235
84,0.065248504
85,0.06510599
86,0.06454132
87,0.06439395
88,0.064076155
89,0.06405812
90,0.06400291
91,0.063573204
92,0.06431901
93,0.06312081
94,0.062949315
95,0.062699124
96,0.06238062
97,0.062356677
98,0.062430564
99,0.06167383
100,0.062018603
101,0.06129963
102,0.060966205
103,0.061275274
104,0.060744498
105,0.06045896
106,0.060324695
107,0.05988059
108,0.05968392
109,0.05955637
110,0.059534844
111,0.059441518
112,0.059074197
113,0.059156615
114,0.0586585
115,0.058632556
116,0.058243163
117,0.0584236
118,0.05789469
119,0.057664663
120,0.05747099
121,0.0573608
122,0.057420958
123,0.05694798
124,0.05734117
125,0.05655748
126,0.05635814
127,0.056340933
128,0.05648216
129,0.056065988
130,0.056051888
131,0.05542371
132,0.055316795
133,0.055207558
134,0.055047873
135,0.054732144
136,0.054603998
137,0.055208303
138,0.054269608
139,0.054461043
140,0.05410119
141,0.054268192
142,0.054843955
143,0.053872928
144,0.053746995
145,0.053185116
146,0.05300736
147,0.05367784
148,0.05280502
149,0.052988824
150,0.053093918
151,0.052644223
152,0.052818872
153,0.052520815
154,0.052198216
155,0.05206442
156,0.052060187
157,0.051884662
158,0.051902074
159,0.051918887
160,0.051847253
161,0.052589398
162,0.05185366
163,0.051675454
164,0.05192679
165,0.051203027
166,0.05173073
167,0.05129313
168,0.05112827
169,0.050934736
170,0.051260244
171,0.05078567
172,0.050693363
173,0.050651256
174,0.05033302
175,0.050604805
176,0.050073877
177,0.050233986
178,0.049838807
179,0.04999137
180,0.049761783
181,0.050056815
182,0.049919873
183,0.04939841
184,0.049512982
185,0.049278636
186,0.04928498
187,0.049334366
188,0.049030304
189,0.04937072
190,0.0487645
191,0.048765015
192,0.049509577
193,0.04862556
194,0.048381317
195,0.04824034
196,0.0485611
197,0.048157856
198,0.048047516
199,0.04776887
200,0.04772787
