Epoch,Training_Loss,Validation_Loss
1,3.2876,3.4601
2,3.4198,3.3457
3,3.2167,3.0041
4,2.7074,2.232
5,1.5777,0.6168
6,0.4142,0.416
7,0.2417,0.1697
8,0.1309,0.072
9,0.07,0.0449
10,0.0428,0.0311
11,0.0286,0.0218
12,0.0197,0.0155
13,0.0142,0.0116
14,0.0106,0.0091
15,0.0082,0.0075
16,0.0068,0.0065
17,0.0059,0.0058
18,0.0052,0.0053
19,0.0048,0.005
20,0.0044,0.0047
21,0.0041,0.0045
22,0.004,0.0043
23,0.0038,0.0041
24,0.0037,0.0039
25,0.0035,0.0038
26,0.0034,0.0037
27,0.0032,0.0035
28,0.0031,0.0034
29,0.003,0.0033
30,0.0029,0.0032
31,0.0028,0.0031
32,0.0027,0.003
33,0.0027,0.0029
34,0.0026,0.0028
35,0.0026,0.0028
36,0.0025,0.0027
37,0.0024,0.0027
38,0.0024,0.0026
39,0.0023,0.0025
40,0.0023,0.0025
41,0.0022,0.0024
42,0.0022,0.0024
43,0.0021,0.0024
44,0.0021,0.0023
45,0.0021,0.0023
46,0.002,0.0022
47,0.002,0.0022
48,0.002,0.0022
49,0.0019,0.0021
50,0.0019,0.0021
51,0.0019,0.0021
52,0.0018,0.002
53,0.0018,0.002
54,0.0018,0.002
55,0.0017,0.002
56,0.0017,0.0019
57,0.0017,0.0019
58,0.0017,0.0019
59,0.0017,0.0019
60,0.0017,0.0019
61,0.0016,0.0019
62,0.0016,0.0018
63,0.0016,0.0018
64,0.0016,0.0018
65,0.0015,0.0018
66,0.0015,0.0018
67,0.0015,0.0017
68,0.0015,0.0017
69,0.0015,0.0017
70,0.0015,0.0017
71,0.0014,0.0017
72,0.0015,0.0017
73,0.0014,0.0016
74,0.0014,0.0016
75,0.0014,0.0016
76,0.0014,0.0016
77,0.0013,0.0016
78,0.0013,0.0016
79,0.0013,0.0016
80,0.0013,0.0016
81,0.0013,0.0016
82,0.0013,0.0015
83,0.0013,0.0015
84,0.0013,0.0015
85,0.0012,0.0015
86,0.0013,0.0015
87,0.0013,0.0015
88,0.0013,0.0015
89,0.0012,0.0015
90,0.0012,0.0015
91,0.0012,0.0015
92,0.0012,0.0015
93,0.0012,0.0015
94,0.0012,0.0014
95,0.0012,0.0014
96,0.0012,0.0014
97,0.0012,0.0014
98,0.0011,0.0014
99,0.0011,0.0014
100,0.0012,0.0014
101,0.0011,0.0014
102,0.0011,0.0014
103,0.0011,0.0014
104,0.0011,0.0014
105,0.0011,0.0014
106,0.0011,0.0014
107,0.0011,0.0014
108,0.0011,0.0014
109,0.0011,0.0013
110,0.0011,0.0013
111,0.0011,0.0013
112,0.0011,0.0013
113,0.0011,0.0013
114,0.0011,0.0013
115,0.0011,0.0013
116,0.0011,0.0013
117,0.0011,0.0013
118,0.0011,0.0013
119,0.001,0.0013
120,0.0011,0.0013
121,0.0011,0.0013
122,0.0011,0.0013
123,0.001,0.0013
124,0.001,0.0013
125,0.001,0.0013
126,0.001,0.0013
127,0.001,0.0013
128,0.001,0.0013
129,0.001,0.0013
130,0.001,0.0013
131,0.001,0.0013
132,0.001,0.0012
133,0.001,0.0012
134,0.001,0.0012
135,0.001,0.0012
136,0.001,0.0012
137,0.001,0.0012
138,0.001,0.0012
139,0.001,0.0012
140,0.001,0.0013
141,0.0009,0.0013
142,0.001,0.0012
143,0.0009,0.0012
144,0.001,0.0012
145,0.0009,0.0012
146,0.0009,0.0012
147,0.0009,0.0012
148,0.0009,0.0012
149,0.0009,0.0012
150,0.0009,0.0012
151,0.0009,0.0012
152,0.0009,0.0012
153,0.0009,0.0012
154,0.0009,0.0012
155,0.0009,0.0012
156,0.0009,0.0012
157,0.0009,0.0012
158,0.0009,0.0012
159,0.0009,0.0012
160,0.0009,0.0012
161,0.0009,0.0012
162,0.0009,0.0012
163,0.0009,0.0012
164,0.0009,0.0012
165,0.0009,0.0012
166,0.001,0.0012
167,0.0009,0.0012
168,0.0009,0.0012
169,0.0009,0.0012
170,0.0009,0.0012
171,0.0009,0.0011
172,0.0009,0.0012
173,0.0008,0.0012
174,0.0009,0.0011
175,0.0009,0.0011
176,0.0009,0.0011
177,0.0009,0.0011
178,0.0009,0.0012
179,0.0009,0.0011
180,0.0008,0.0011
181,0.0009,0.0011
182,0.0009,0.0011
183,0.0009,0.0011
184,0.0009,0.0011
185,0.0009,0.0011
186,0.0009,0.0011
187,0.0008,0.0011
188,0.0008,0.0011
189,0.0008,0.0011
190,0.0009,0.0011
191,0.0009,0.0011
192,0.0008,0.0011
193,0.0008,0.0011
194,0.0008,0.0011
195,0.0008,0.0011
196,0.0008,0.0011
197,0.0008,0.0011
198,0.0008,0.0011
199,0.0009,0.0011
200,0.0008,0.0011
201,0.0008,0.0011
202,0.0008,0.0011
203,0.0008,0.0011
204,0.0008,0.0011
205,0.0008,0.0011
206,0.0008,0.0011
207,0.0008,0.0011
208,0.0008,0.0011
209,0.0008,0.0011
210,0.0008,0.0011
211,0.0008,0.0011
212,0.0008,0.0011
213,0.0008,0.0011
214,0.0008,0.0011
215,0.0008,0.0011
216,0.0008,0.0011
217,0.0008,0.0011
218,0.0008,0.0011
219,0.0008,0.0011
220,0.0008,0.0011
221,0.0008,0.0011
222,0.0008,0.0011
223,0.0008,0.0011
224,0.0008,0.0011
225,0.0008,0.0011
226,0.0008,0.0011
227,0.0008,0.0011
228,0.0008,0.0011
229,0.0008,0.0011
230,0.0008,0.0011
231,0.0008,0.0011
232,0.0008,0.0011
233,0.0008,0.0011
234,0.0008,0.0011
235,0.0008,0.0011
236,0.0008,0.0011
237,0.0008,0.0011
238,0.0008,0.0011
239,0.0008,0.0011
240,0.0008,0.0011
241,0.0008,0.0011
242,0.0008,0.0011
243,0.0008,0.0011
244,0.0008,0.0011
245,0.0008,0.0011
246,0.0008,0.0011
247,0.0008,0.0011
248,0.0008,0.001
249,0.0007,0.0011
250,0.0008,0.0011
251,0.0008,0.001
252,0.0008,0.001
253,0.0008,0.001
254,0.0008,0.001
255,0.0008,0.001
256,0.0008,0.001
257,0.0008,0.001
258,0.0007,0.001
259,0.0008,0.001
260,0.0007,0.0011
261,0.0008,0.001
262,0.0007,0.001
263,0.0008,0.001
264,0.0008,0.001
265,0.0007,0.001
266,0.0007,0.001
267,0.0007,0.001
268,0.0007,0.001
269,0.0008,0.001
270,0.0007,0.001
271,0.0007,0.0011
272,0.0007,0.001
273,0.0007,0.0011
274,0.0008,0.001
275,0.0007,0.001
276,0.0008,0.001
277,0.0007,0.0011
278,0.0008,0.001
279,0.0007,0.001
280,0.0007,0.001
281,0.0007,0.001
282,0.0007,0.001
283,0.0007,0.001
284,0.0007,0.001
285,0.0007,0.001
286,0.0007,0.001
287,0.0007,0.001
288,0.0007,0.001
289,0.0007,0.001
290,0.0007,0.001
291,0.0007,0.001
292,0.0007,0.001
293,0.0007,0.0011
294,0.0007,0.001
295,0.0007,0.001
296,0.0007,0.001
297,0.0007,0.001
298,0.0007,0.001
299,0.0007,0.001
300,0.0007,0.001
301,0.0007,0.001
302,0.0007,0.001
303,0.0007,0.001
304,0.0007,0.001
305,0.0007,0.001
306,0.0007,0.001
307,0.0007,0.001
308,0.0007,0.001
309,0.0007,0.001
310,0.0007,0.001
311,0.0007,0.001
312,0.0007,0.001
313,0.0007,0.001
314,0.0007,0.001
315,0.0007,0.001
316,0.0007,0.001
317,0.0007,0.001
318,0.0007,0.001
319,0.0007,0.001
320,0.0007,0.001
321,0.0007,0.001
322,0.0007,0.001
323,0.0007,0.001
324,0.0007,0.001
325,0.0007,0.001
326,0.0007,0.001
327,0.0007,0.001
328,0.0007,0.001
329,0.0007,0.001
330,0.0007,0.001
331,0.0007,0.001
332,0.0007,0.001
333,0.0007,0.001
334,0.0007,0.001
335,0.0007,0.001
336,0.0007,0.001
337,0.0007,0.001
338,0.0007,0.0011
339,0.0007,0.001
340,0.0007,0.001
341,0.0007,0.001
342,0.0007,0.001
343,0.0007,0.001
344,0.0007,0.001
345,0.0007,0.001
346,0.0007,0.001
347,0.0006,0.001
348,0.0007,0.001
349,0.0007,0.001
350,0.0007,0.001
351,0.0007,0.001
352,0.0007,0.001
353,0.0007,0.001
354,0.0007,0.001
355,0.0007,0.001
356,0.0007,0.001
357,0.0006,0.001
358,0.0007,0.001
359,0.0006,0.001
360,0.0006,0.001
361,0.0006,0.001
362,0.0007,0.001
363,0.0006,0.001
364,0.0007,0.001
365,0.0007,0.001
366,0.0006,0.001
367,0.0007,0.001
368,0.0006,0.001
369,0.0006,0.001
370,0.0007,0.001
371,0.0006,0.001
372,0.0006,0.001
373,0.0006,0.001
374,0.0006,0.001
375,0.0006,0.001
376,0.0006,0.001
377,0.0006,0.001
378,0.0006,0.001
379,0.0006,0.001
380,0.0006,0.001
381,0.0006,0.001
382,0.0006,0.001
383,0.0006,0.001
384,0.0007,0.001
385,0.0007,0.001
386,0.0007,0.001
387,0.0006,0.001
388,0.0006,0.001
389,0.0006,0.001
390,0.0006,0.001
391,0.0006,0.001
392,0.0007,0.001
393,0.0006,0.001
394,0.0006,0.001
395,0.0006,0.001
396,0.0006,0.001
397,0.0006,0.001
398,0.0006,0.001
399,0.0006,0.001
400,0.0006,0.001
401,0.0006,0.001
402,0.0006,0.001
403,0.0006,0.0009
404,0.0006,0.001
405,0.0006,0.001
406,0.0006,0.001
407,0.0006,0.001
408,0.0006,0.0009
409,0.0006,0.001
410,0.0006,0.001
411,0.0006,0.001
412,0.0006,0.001
413,0.0006,0.001
